DATA LENGTH(steps) :
1823
STEP LENGTH(sec) :
0.010000

PCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY
0.621000     0.999965     -0.002132    -0.006856    -0.004194    -0.026962    0.062370     -0.427677    0.472875     -0.592778    -0.016483    0.080840     0.409655     -0.454821    -0.546185    0.005721    
0.621000     0.999963     -0.002164    -0.007073    -0.004315    -0.026750    0.058539     -0.429302    0.471653     -0.597042    -0.016556    0.078649     0.409962     -0.454497    -0.550177    0.005829    
0.621000     0.999961     -0.002194    -0.007289    -0.004428    -0.026528    0.054607     -0.431014    0.470458     -0.601435    -0.016777    0.076239     0.410352     -0.454250    -0.554330    0.005999    
0.621000     0.999959     -0.002224    -0.007505    -0.004533    -0.026297    0.050546     -0.432828    0.469286     -0.605959    -0.017170    0.073565     0.410840     -0.454072    -0.558649    0.006185    
0.621000     0.999957     -0.002252    -0.007720    -0.004631    -0.026053    0.046328     -0.434760    0.468116     -0.610623    -0.017745    0.070577     0.411445     -0.453958    -0.563135    0.006330    
0.621000     0.999955     -0.002280    -0.007936    -0.004720    -0.025800    0.041918     -0.436827    0.466943     -0.615435    -0.018507    0.067231     0.412182     -0.453896    -0.567797    0.006370    
0.621000     0.999953     -0.002308    -0.008152    -0.004800    -0.025537    0.037283     -0.439049    0.465753     -0.620407    -0.019447    0.063477     0.413070     -0.453870    -0.572644    0.006231    
0.621000     0.999950     -0.002334    -0.008368    -0.004871    -0.025267    0.032387     -0.441444    0.464531     -0.625551    -0.020545    0.059269     0.414125     -0.453866    -0.577684    0.005840    
0.621000     0.999948     -0.002360    -0.008586    -0.004933    -0.024988    0.027195     -0.444030    0.463269     -0.630885    -0.021766    0.054562     0.415363     -0.453866    -0.582933    0.005129    
0.621000     0.999946     -0.002384    -0.008804    -0.004984    -0.024703    0.021671     -0.446827    0.461957     -0.636426    -0.023067    0.049315     0.416799     -0.453855    -0.588403    0.004029    
0.621000     0.999944     -0.002408    -0.009024    -0.005026    -0.024412    0.015779     -0.449853    0.460588     -0.642194    -0.024400    0.043488     0.418448     -0.453814    -0.594110    0.002492    
0.621000     0.999942     -0.002431    -0.009246    -0.005058    -0.024116    0.009485     -0.453126    0.459163     -0.648209    -0.025707    0.037048     0.420320     -0.453728    -0.600072    0.000485    
